# Países;Fecha;Super 95;Super 95 (Sin imp.);Diesel;Diesel (Sin imp.);Diesel Cal.;Diesel Cal. (Sin imp.)
España;06/03/2006;0,998€;0,453€;0,945€;0,511€;0,604€;0,436€
España;27/02/2006;1,001€;0,455€;0,946€;0,512€;0,593€;0,426€
España;20/02/2006;0,983€;0,440€;0,940€;0,507€;0,604€;0,435€
España;13/02/2006;1,003€;0,458€;0,943€;0,510€;0,611€;0,441€
España;06/02/2006;1,008€;0,462€;0,944€;0,511€;0,610€;0,442€
España;30/01/2006;1,006€;0,460€;0,944€;0,511€;0,607€;0,438€
España;23/01/2006;1,005€;0,459€;0,936€;0,504€;0,602€;0,434€
España;16/01/2006;1,001€;0,455€;0,930€;0,498€;0,585€;0,420€
España;09/01/2006;0,992€;0,448€;0,926€;0,495€;0,582€;0,417€
España;17/12/2007;1,096€;0,537€;1,065€;0,606€;0,733€;0,545€
España;10/12/2007;1,096€;0,537€;1,070€;0,611€;0,739€;0,550€
España;03/12/2007;1,110€;0,549€;1,082€;0,621€;0,748€;0,558€
España;26/11/2007;1,105€;0,545€;1,072€;0,613€;0,752€;0,561€
España;19/11/2007;1,092€;0,534€;1,052€;0,595€;0,738€;0,549€
España;12/11/2007;1,092€;0,534€;1,048€;0,592€;0,728€;0,541€
España;05/11/2007;1,084€;0,527€;1,030€;0,577€;0,707€;0,523€
España;29/10/2007;1,075€;0,520€;1,021€;0,569€;0,685€;0,505€
España;22/10/2007;1,065€;0,511€;1,008€;0,558€;0,670€;0,491€
España;15/10/2007;1,056€;0,503€;0,995€;0,547€;0,657€;0,479€
España;08/10/2007;1,055€;0,502€;0,995€;0,546€;0,655€;0,478€
España;01/10/2007;1,067€;0,512€;1,004€;0,554€;0,658€;0,481€
España;24/09/2007;1,067€;0,512€;1,003€;0,553€;0,646€;0,470€
España;17/09/2007;1,064€;0,510€;0,996€;0,547€;0,630€;0,457€
España;10/09/2007;1,063€;0,509€;0,984€;0,537€;0,620€;0,448€
España;03/09/2007;1,056€;0,503€;0,973€;0,528€;0,617€;0,447€
España;27/08/2007;1,052€;0,500€;0,970€;0,526€;0,617€;0,446€
España;20/08/2007;1,056€;0,503€;0,974€;0,528€;0,619€;0,448€
España;13/08/2007;1,055€;0,503€;0,963€;0,520€;0,644€;0,471€
España;06/08/2007;1,068€;0,513€;0,981€;0,535€;0,626€;0,455€
España;30/07/2007;1,071€;0,516€;0,978€;0,532€;0,624€;0,453€
España;23/07/2007;1,083€;0,526€;0,982€;0,535€;0,628€;0,456€
España;16/07/2007;1,093€;0,535€;0,980€;0,534€;0,621€;0,450€
España;09/07/2007;1,091€;0,533€;0,973€;0,528€;0,617€;0,447€
España;02/07/2007;1,099€;0,539€;0,977€;0,531€;0,617€;0,447€
España;25/06/2007;1,098€;0,539€;0,976€;0,530€;0,612€;0,442€
España;18/06/2007;1,093€;0,534€;0,971€;0,525€;0,607€;0,438€
España;11/06/2007;1,087€;0,530€;0,964€;0,520€;0,606€;0,438€
España;04/06/2007;1,091€;0,534€;0,955€;0,512€;0,601€;0,434€
España;28/05/2007;1,097€;0,538€;0,964€;0,520€;0,599€;0,431€
España;21/05/2007;1,092€;0,534€;0,959€;0,515€;0,593€;0,426€
